name,description
okhttp3,
bayesian,"Bayesian (after Thomas Bayes) refers to methods in probability and statistics that involve quantifying uncertainty about parameter or latent variable estimates by incorporating both prior and observed information. Bayesian modeling, inference, optimization, and model comparison techniques are on topic. A programming element is expected; theoretical/methodological questions should go to https://stats.stackexchange.com."
python-module,A module is a file containing Python definitions and statements. 
ontology,"Ontology is a formal representation of knowledge as a set of concepts within a domain, and the relationships between those concepts. Those concepts and relationships create graph-structures and can be described by the lattice theory or other mathematical models."
copy,To copy is to create a duplicate of an object without destroying the original. Commonly seen in text editors that will let you copy some text and paste it somewhere else.
datetime-format,"datetime-format is a transformation of a timestamp from an industry standard format, such as UTC or ISO, to a format which conforms to the standards of a particular locale or audience"
audio-player,A software specialized in playing audio of different formats and/or manage audio libraries.
picturebox,The PictureBox is a control in the Windows Forms system that provides a way to display an image. It can handle many different image formats.
pyspark,The Spark Python API (PySpark) exposes the Apache Spark programming model to Python.
android-bluetooth,The Android bluetooth subsystem. May also refer to using bluetooth hardware in Android.
avd,"Android Virtual Device (AVD), is a virtual instance of the target device (phone/tablet) which can be run in the Android emulator for simulation."
jbpm,jBPM  is a light-weight business process management suite written in Java. Use this tag for questions related to jBPM usage and workflows.
connection,"Refers to a connection used to transfer data between two endpoints, such as between a client and a web, database, web service or other server."
autowired,Autowiring is a DI container feature where the dependencies are automatically looked for according to some criteria.
http-headers,"In the Hypertext Transfer Protocol (HTTP), HTTP header fields contain the operating parameters of an HTTP request or response. With the request or response line (first line of message), they form the message header."
ravendb,"RavenDB is an Open Source document database for the .NET Core platform (Windows, MacOS, Linux). RavenDB offers a flexible data model designed to fit the needs of real world systems. RavenDB stores schema-less JSON documents, and allows you to define indexes using Linq queries and focus on low latency and high performance."
show-hide,show-hide is a user interface behavior used to visually indicate on and off states
amazon-emr,"Amazon Elastic MapReduce (Amazon EMR) is a web service that enables businesses, researchers, data analysts, and developers to easily and cost-effectively process vast amounts of data. It utilizes a hosted Hadoop framework running on the web-scale infrastructure of Amazon Elastic Compute Cloud (Amazon EC2) and Amazon Simple Storage Service (Amazon S3).
"
data-binding,A general technique that binds two data/information sources together and maintains them in sync.
dynamic-linking,"Dynamic linking is a system which allows libraries to remain separate from programs until loaded, contrast static linking."
integer,"Common datatype in many programming languages for representing both negative and non-negative whole numbers. Use this tag for questions about using, storing, or manipulating integers. For 64-bit integers, use the [long-integer] tag instead."
core-animation,"Core Animation is Apple&#39;s framework for performing hardware-accelerated animation of display elements on the Mac and iOS devices.  Useful references include


Core Animation Programming Guide
Animation Types and Timing Programming Guide
Core Animation Cookbook

"
uinavigationcontroller,The UINavigationController class implements a specialized iOS view controller that manages the navigation of hierarchical content.
move-semantics,Move semantics is a programming language feature that allows a copy operation to be replaced by a more efficient &quot;move&quot; when the source object is a temporary or an otherwise expiring object.
subquery,"&quot;subquery&quot; is vague SQL terminology, used to describe when there&#39;s either more than one `SELECT` statement in a query, or when used in Data Manipulation Language (DML) statements (IE: DELETE, UPDATE, INSERT, MERGE).  The subquery&#39;s SELECT statement is always found within brackets/parenthesis."
viewport,"A viewport is a rectangular viewing region in computer graphics, or a term used for optical components. It has several definitions in different contexts.A viewport is a region of the screen used to display a portion of the total image to be shown. Also it can be a group of regions that together make  one layout."
centos7,"Version 7 of CentOS Linux distribution. The CentOS Linux distribution is a stable, predictable, manageable and reproduceable platform derived from the sources of Red Hat Enterprise Linux (RHEL)."
webcam,"A webcam is a video camera that feeds its images in real time to a computer or computer network, often via USB, ethernet, or Wi-Fi."
android-imageview,"Displays an arbitrary image or a drawable, such as an icon or an xml defined graphical element."
http2,"HTTP2 (or HTTP v2.0) is an alternative to, but does not obsolete, HTTP1.1."
named-entity-recognition,"Named-entity recognition (NER) (also known as entity identification and entity extraction) is a subtask of information extraction that seeks to locate and classify atomic elements in text into predefined categories such as the names of persons, organizations, locations, expressions of times, quantities, monetary values, percentages, etc."
iframe,"An &#39;iframe&#39; is an HTML element that creates an &quot;inline frame&quot; within a document, which allows displaying a separate document in the same page."
file-handling,"file-handling is an abstraction of common actions such as creating, opening, closing, reading, updating, writing, comparing and deleting files"
preg-match-all,A PHP function that performs a global regular expression match using PCRE patterns.
electron-builder,"Electron Builder is an open source solution for distribution and auto-update of Electron NPM apps.  Use this tag on questions about a) using Electron Builder to distribute or update an Electron app, or b) working with the Electron Builder project source."
argparse,A Python module for implementing command-line interfaces
xslt,"XSLT is a transformation language for XML designed to transform structured documents into other formats (such as XML, HTML, and plain text, or, in XSLT 3, JSON). Questions should use one of the xslt-1.0, xslt-2.0, or xslt-3.0 tags as appropriate."
offset,"The relational position of an entity, when compared to another entity with fixed position. Typically used, for example, to define location within a file or byte buffer from which information should be read."
android-pendingintent,An Android class that provides a description of an Intent and target action to perform with it
tumblr,"Tumblr is a microblogging platform that allows users to post text, images, videos, links, quotes and audio to their tumblelog, a short-form blog."
android-resources,Android resources - framework for providing different layouts or strings for android projects.
google-cloud-sql,"Google Cloud SQL is a service that allows you to create, configure, and use relational databases that live in Google&#39;s cloud. It is a fully-managed service that maintains, manages, and administers your databases, allowing you to focus on your applications and services."
datagrid,A graphical user interface element that presents a tabular view of data.
stored-procedures,A subroutine available to applications accessing a relational database system.
countdowntimer,The Android `CountDownTimer` class. Do not use this tag for any countdown timer-related question that is not related to the Android class
airflow,"Apache Airflow is a workflow management platform to programmatically author, schedule, and monitor workflows as directed acyclic graphs (DAGs) of tasks.
"
memory,"Use this tag for memory management or issues in programming. For questions about memory hardware issues or errors in general software, go to https://superuser.com, or https://serverfault.com if this is related to enterprise-level hardware or software."
enterprise,"Enterprise refers to software intended to facilitate the operation of one or more types of business entities, such as cooperatives, companies, universities, and government organizations."
jekyll,"Jekyll is a blog-aware, static site generator written in Ruby. Please refer to https://talk.jekyllrb.com before asking your question."
jsdoc,JSDoc is a markup language for adding inline API documentation to JavaScript source code. This is distinct from the various tools that parse and manipulate code that follows the JSDoc syntax.
org-mode,"Org-mode is an Emacs mode for keeping notes, maintaining ToDo lists, doing project planning, and authoring with a fast and effective plain-text system. "
mongodb-java,"MongoDB is a scalable, high-performance, open source, document-oriented database. This tag is used for questions related to the Java language bindings and drivers for MongoDB."
nan,NaN is an abbreviation for &quot;Not a Number&quot;. NaN is sometimes not equal to itself.
voice,"A voice in programming may refer to voice synthesis (e.g. transforming text to speech) and voice recognition (e.g. transforming speech to text, voice commands)."
ubuntu-16.04,"Ubuntu 16.04 (Xenial Xerus) is a long term support release, available from 21st of April 2016. Questions should be related to writing or running programs under Ubuntu. General Ubuntu questions should be asked on https://askubuntu.com"
sorting,Sorting is the process of applying some order to a collection of items.
updates,"[Instead of using this tag, please use the appropriate tag for the software and/or library in question]

Updates can refer to the modification of data or configuration by an application, process, or service, or can refer to the modification of software by a process. This tag seems fairly useless, as most software engages in updating something most of the time."
cross-compiling,"For general cross compiling issues, where a separate &#39;hosting&#39; environment is used to build for the &#39;target&#39; platform."
utf-16,UTF-16 is a character encoding that represents Unicode code points using either 2 or 4 bytes per character.
data.table,"The R data.table package is an extension of data.frame built for fast in-memory data analysis. Use the dt tag for the DataTables package with Shiny (DT).
"
procedure,A procedure is a subroutine that does not return a value. Do not use this tag for stored procedures. Use &#39;stored-procedures&#39; tag instead.
junit,"Popular unit testing framework for Java and Scala. The latest version, JUnit 5, supports rich annotation-based and parameterized tests. Consider using in conjunction with the Java or Scala tag to indicate your use case."
jailbreak,"Questions related to the process of gaining root access to a mobile device for the purpose of software and OS modification. This term is generally used in association with iOS devices, but can be used to describe the rooting process for other devices."
shared,"In VB.NET, the Shared keyword is roughly equivalent to the static keyword used by many other languages."
processbuilder,Processbuilder is Java wrapper around an Operating System Process. This class is used to create operating system processes. 
devexpress,DevExpress is a component vendor for a variety of controls across different technologies.  They allow for more customization than the standard-issue controls.
sugarcrm,"Questions concerning customization and development within the customer relationship management software &quot;Sugar&quot; by SugarCRM Inc.

In order to receive more useful answers quicker, it&#39;s strongly recommended to specify the edition and version of the Sugar instance(s) in question, as there are significant differences between the different releases and derivatives."
autofac,Autofac is an inversion of control (IoC) container for Microsoft .NET. It manages the dependencies between classes so that applications stay easy to change as they grow in size and complexity. This is achieved by treating regular .NET classes as components.
media,Media are the storage and transmission channels or tools used to store and deliver information or data.
reverse,Rearranging the order of a sequence such that the final order is a mirror image of the original.
load-balancing,The term load balancing is used to describe technology that is used to evenly distribute work across multiple nodes within a network.
spell-checking,Flagging words in a document that may not be spelled correctly.
jpeg,JPEG is a commonly used method of lossy compression for digital photography (image). 
javafx-2,"OUTDATED - DO NOT USE FOR GENERAL JAVAFX QUESTIONS! JavaFX 2 provides a Java-based UI platform for creating standalone or browser-based Rich Client Applications. Its Java API enables Java developers to leverage existing skills and tools. The next version - JavaFX-8 was released March 18, 2014."
orbeon,"Orbeon Forms is a solution to build and deploy web forms and comes with Orbeon Form Builder, an open source web-based form designer. Use this tag for technical questions such as scripting issues, form behavior, etc. Non-technical questions should be directed to the Orbeon community at the official site."
flatten,Flattening refers to either reducing a multi-dimensional array to a single dimension or to reducing a class and class methods to handle based function calls.
jsch,"JSch is a pure Java implementation of SSH2.
JSch allows you to connect to an SSH server and use port forwarding, X11 forwarding, file transfer, etc., and you can integrate its functionality into your own Java programs. "
zend-db,Database access component for the Zend Framework.
try-catch,try-catch is a syntactic construct for catching exceptions raised by a code section
p5.js,"p5.js is a JavaScript library that starts with the original goal of processing, to make coding accessible for artists, designers, educators, and beginners, and reinterprets this for today’s web."
add-in,AddIn (Add-In or Add In) is a synonym for plugin - a program that is triggered by a host program allowing third party developers to manipulate or extend the hosting program.
appdelegate,"In iOS, the app delegate is responsible for managing the app throughout its lifecycle by responding to events such as launch and termination."
protocols,A common means for (un)related objects to communicate with each other.
stringbuilder,Stringbuilder is a class that provides a convenient and efficient way of working with text data in Java and .NET framework. 
zoo,zoo is an R package that provides an S3 class with methods for totally ordered indexed observations.
header-files,"Header files are used in some programming languages to hold source code as a single copy that may be reused in multiple source files. This tag should be used for questions about using header files. A tag for the programming language such as C, C++, PHP, or Ruby should be used along with this tag since header file usage can vary between programming languages. This tag is not normally used with Java or Go programming and the import directive."
paypal,"For questions about the PayPal API used by software developers to process payments, manage invoices, monitor accounts, etc. (For user-level support, contact PayPal directly using their site.)"
snapshot,"A snapshot is the state of something (e.g. a folder) at a specific point in time. In this case, snapshot means the current content of the test branch, this doesn&#39;t have to be the head revision"
cross-browser,"Cross-browser development refers to the practice of building web sites, web applications, libraries, or components so that they function across different web browsers and rendering engines. "
data-analysis,"Data Analysis involves extracting meaning and insights from raw data. It involves methods and algorithms that examine, clean, transform and model the data to obtain conclusions.
"
higher-order-functions,Higher-order functions are functions which either take functions as arguments or return them as output (or both).  They are a cornerstone of functional programming.
tomcat,"Use this tag for questions about Apache Tomcat (or simply Tomcat, formerly also Jakarta Tomcat) which is an open source Servlet Container developed by the Apache Software Foundation (ASF).  Most questions should also include a tag specifying the operating system."
flutter-web,"Questions related to Flutter for web support –&#160;currently (as of January 2021) is available on the beta channel.
Flutter supports the generation of web content rendered using standards-based web technologies: HTML, CSS and JavaScript. With web support, you can compile existing Flutter code written in Dart into a client experience that can be embedded in the browser and deployed to any web server."
xpages,XPages is HCL&#39;s web and mobile application development platform for applications built on top of the HCL Domino server.
credentials,Credentials in information systems are widely used to control access to information or other resources. The classic combination of a user account number or name and a secret password is a widely-used example of IT credentials.
android-testing,The Android testing framework
dataweave,"The DataWeave Language is a powerful template engine that allows you to transform data to and from any kind of format (XML, CSV, JSON, Pojos, Maps, etc)."
gridbaglayout,"The GridBagLayout is a flexible Java Swing layout manager that aligns components vertically, horizontally or along their baseline without requiring that the components be of the same size. Each GridBagLayout object maintains a dynamic, rectangular grid of cells, with each component occupying one or more cells, called its display area."
facebook-fql,Facebook Query Language (FQL) enables you to use a SQL-style interface to query the data exposed by the Graph API. It provides for some advanced features not available in the Graph API such as using the results of one query in another.
vue-cli,"Vue CLI is the official tooling for bootstrapping and maintaining your Vue projects.

Offering a feature rich and extensible platform for using (or developing your own) plugins and preset in zero-configuration fashion, as well as future-proofing the upgradebility of your project and tooling configurations."
identityserver3,OpenID Connect Provider and OAuth 2.0 Authorization Server Framework based on Katana.
assemblies,Assemblies are collections of compiled .Net types and resources grouped into a logical and physical unit (in the form of a .dll file or .exe file).
uibezierpath,The UIBezierPath class lets you define a path consisting of straight and curved line segments and render that path in your custom views.
rabbitmq,RabbitMQ is an open-source message broker originally implementing the AMQP protocol with additional messaging protocols supported via a plug-in architecture. This tag should be used with questions involving the RabbitMQ server message broker product or questions concerning the source code and implementation of the RabbitMQ product. A specific protocol tag such as amqp or mqtt may also be appropriate as well as the OS and programming language being used.
html5-audio,The audio element is used to embed sound content in an HTML or XHTML document.  The audio element was added as part of HTML5.
backpropagation,"Backpropagation is a method of the gradient computation, often used in artificial neural networks to perform gradient descent."
flush,Flush means clearing all the buffers for a stream. This will cause any buffered data to be written to the underlying device.
relationship,Questions in this tag typically involve the association that a set of data has with other set(s) of data.
doctrine-orm,"Doctrine ORM is a PHP ORM. While Doctrine 1.2 uses the Active Record pattern, Doctrine ORM 2 and up uses the Data Mapper pattern. The Doctrine project is a collection of open source libraries and tools for dealing with database abstraction and Object-Relational Mapping written in PHP.
"
webbrowser-control,This tag refers to the WebBrowser ActiveX Control (native) and for Windows Forms or WPF applications (.NET). This control &quot;hosts Web pages and provides Web browsing capabilities to your application&quot;.
formik,Formik is a form library for React and React Native
backwards-compatibility,Backward compatibility refers to a software or hardware system that can successfully use interfaces and data from earlier versions of the system.
embed,"To &quot;Embed&quot; is to place a software module, object, or application into your own application or web page."
tensor,"A tensor is a multi-dimensional array. It is a key entity in many computational libraries, such as tensorflow, torch, theano, caffe, mxnet, used for machine learning tasks. If you use this tag, also tag the question with the corresponding library."
data-science,"Implementation questions about data science. Data science concerns extracting knowledge or insights from data, in whatever shape or form. It can contain predictive analytics and usually takes a lot of data wrangling.  General questions about data science should be posted to their respective communities."
libcurl,"Use this tag only for questions related to the multiprotocol internet transfer library, for question related to command line tool please use the specific curl tag"
favicon,"An icon associated with particular website. It is often displayed in a web browser in address field (usually left to the URL), on tab bar, or in bookmarks."
server-side,"The term &quot;server-side&quot; refers to the portion of an application run on a server. The counterpart of &quot;server-side&quot; is &quot;client-side&quot;, meaning the part of an application running locally on the user&#39;s own machine, such as in a Web browser."
csv,"Comma-Separated Values or Character-Separated Values (CSV) is a common &quot;flat file database&quot; (or spreadsheet-style) format for storing tabular data in plain text, with fields separated by a special character (comma, tab, etc). Rows are typically denoted by newline characters. Use for any delimited file formats, including tab delimited (TSV)"
mono,"Mono is an open source implementation of .NET that runs on many platforms, including Linux, Mac OS X, and Windows.  This allows running .NET applications on platforms other than Windows with little to no modification."
mobile-website,Mobile Website refers to the design and implementation of web content aimed at clients using mobile devices such as phones or tablets.
xcode4.2,"the Oct. 12, 2011 release of Apple&#39;s integrated development environment (IDE) for Mac OS X and iOS. USAGE NOTE: Use this tag only for questions that are specific to this version of Xcode, and not for general Mac or iOS programming topics. Use [cocoa] for Mac programming questions, and [cocoa-touch] or [ios] for iOS programming questions."
auto-update,Auto-updating is software functionality that allows a program to maintain whether it or the supporting data is up-to-date in an automatic fashion.
esp8266,"ESP8266 is a highly integrated chip which offers a complete and self-contained Wi-Fi networking solution, allowing it to either host applications or offload all Wi-Fi networking functions from another application processor. "
velocity,"Apache Velocity is a Java-based template engine.  It can be used to dynamically generate web pages, email messages, source code, or any other text file."
java-9,"Use this tag for questions specific to Java 9, which is version 9 of the Java platform, released on the 21st of September 2017. In most cases you should also specify the java tag."
icons,An icon is a small pictogram used in graphical user interfaces to supplement the presentation of textual information to the user.
pseudo-element,CSS pseudo-elements allow for an enhanced display of content within elements or the ability to generate extra beginning or ending content for elements. 
ajax,"AJAX (Asynchronous JavaScript and XML) is a technique for creating interactive website user interfaces without the traditional web page refresh or reload. It uses asynchronous data exchange between client and server to update displayed information and respond to user interactions seamlessly. Include additional tags for programming languages, libraries, frameworks, web browsers, protocols and other environmental information."
ssrs-tablix,"A SQL Server Reporting Services (SSRS) Tablix Data Region is a control to create lists, tables, and matrices."
netezza,"Netezza is a line of high-performance data warehouse appliances and advanced in-database analytics applications for uses including enterprise data warehousing, business intelligence, and predictive analytics.  In 2010, Netezza became a subsidiary of IBM, and the product was subsequently rebranded as &quot;PDA”

In 2019 IBM launched a new generation of Netezza/PDA on the CloudPack for data stack. It runs on both cloud and on-prem specialized CP4D hardware."
react-table,"React Table is a lightweight, fast and extendable datagrid built for React."
masstransit,"MassTransit is a free, open source, lightweight service bus for the Microsoft .NET framework."
vercel,"Vercel (previously known as ZEIT Now) is an open serverless platform for static and hybrid applications built to integrate with your headless content, commerce, or database."
position,"Position refers to the location of an element relative to its container, typically on the horizontal and vertical axes."
webfonts,Technology that enables people to use fonts on demand over the Web without requiring installation in the operating system.
ansible-playbook,
cell,"A cell is an atomic element within a structure composed of columns and/or rows, such as a table or grid. For questions regarding cell arrays in MATLAB, the tag [cell-array] should be used."
cakephp-1.3,This tag relates to the 1.3.x branch of CakePHP MVC framework.
asp.net-membership,ASP.NET membership gives you a built-in way to validate and store user credentials.
nio,"NIO is Java &#39;New I/O&#39; introduced in 1.4, providing non-blocking and multiplexed network I/O; &#39;direct&#39; (native) buffers; file locks and mapped files; and character set codecs."
popupwindow,"A window that appears (&#39;pops up&#39;, hence the name) when you select an option with a mouse or press a designated function key. Usually, the pop-up window contains a menu of commands and stays on the screen only until you select one of the commands. It then disappears."
constraints,"A constraint is a condition that has to be fulfilled in a given context. Constraints are typically used in databases and programming languages to detect errors, ensure data consistency, accuracy, and to enforce business requirements."
pca,"Principal component analysis (PCA) is a statistical technique for dimension reduction often used in clustering or factor analysis.  Given any number of explanatory or causal variables, PCA ranks the variables by their ability to explain greatest variation in the data.  It is this property that allows PCA to be used for dimension reduction, i.e. to identify the most important variables from amongst a large set possible influences."
file,"A block of arbitrary information, or resource for storing information, accessible by the string-based name or path. Files are available to computer programs and are usually based on some kind of persistent storage."
esp32,For issues relating to the ESP 32 Wi-Fi and Bluetooth combo chip of Espressif.
axis2,A Web Services/SOAP/WSDL framework supported by the Apache Software Foundation
for-loop,"A for loop is a control structure used by many programming languages to iterate over a range. It is a way of repeating statements a number of times until the loop ends. Depending on the language this may be over a range of integers, iterators, etc."
linq,"Language Integrated Query (LINQ) is a Microsoft .NET Framework component that adds native data querying capabilities to .NET languages. Please consider using more detailed tags when appropriate, for example [linq-to-sql], [linq-to-entities] / [entity-framework], or [plinq]"
eclipse,"Eclipse is an open source IDE and platform for building applications. There is a wide variety of plugins for various programming languages and other development-oriented tools (such as modeling, database browsing, etc.). This tag should only be used for questions specifically about the Eclipse IDE or platform, not for generalized (Java, etc.) programming topics."
encoding,"Encoding is a set of predefined rules to reversibly transform a piece of information in a certain representation into a completely different representation. The other way round is called decoding. This tag is rather generic, but it is mainly used for binary encoding schemes such as base 64 and hexadecimal."
url-encoding,URL Encoding is a mechanism for encoding information in a Uniform Resource Identifier (URI) under certain circumstances.
jhipster,"JHipster is a development platform to generate, develop and deploy Spring Boot,  Angular/React/Vue Web applications and Spring microservices."
scikit-learn,"Scikit-learn is a machine-learning library for Python that provides simple and efficient tools for data analysis and data mining, with a focus on machine learning. It is accessible to everybody and reusable in various contexts. It is built on NumPy and SciPy. The project is open source and commercially usable (BSD license)."
python-import,For questions about importing modules in Python
dsl,Domain-Specific Language is a programming language intended for a particular application domain
distance,Distance is a numerical description of how far apart objects are.
stackexchange.redis,A high performance .NET redis client library
point,A point is a fundamental geometry entity.
http-proxy,An HTTP Proxy is a server that receives requests from your web browser and then makes the request to the Internet on your behalf. It then returns the results to your browser.
camera-calibration,"In Computer Vision, camera-calibration is the process of finding the true parameters of the camera that produced a given photograph or video. Usually, the camera parameters are represented in a 3 &#215; 4 matrix called the camera matrix."
azure-pipelines-release-pipeline,Visual Studio Team Services and Team Foundation Server Release Management.
c#,
hibernate-mapping,Hibernate uses mapping metadata to find out how to load and store objects of the persistent class. The Hibernate mapping could be specified using configuration files or annotations.
contour,A contour line for a function of two variables is a curve connecting points where the function has the same particular value.  
ansible-2.x,"Ansible is a radically simple IT automation platform that makes your applications and systems easier to deploy. Avoid writing scripts or custom code to deploy and update your applications— automate in a language that approaches plain English, using SSH, with no agents to install on remote systems"
laravel-5.2,"Laravel 5.2 is a past version of the open-source PHP web framework created by Taylor Otwell. It was released on December 21, 2015. Use it in addition to the laravel-5 tag if your question is specific to Laravel 5.2. Use the laravel tag for general laravel related questions."
scheduler,"A scheduler is a software component responsible for starting tasks at a given time. Many different scheduler implementations are possible, from very low-level and short-term (an operating system CPU or I/O scheduler) to high-level and long-term (a background application launcher)."
phonegap-plugins,A Cordova (PhoneGap) plugin bridges a bit of functionality between the WebView powering a Cordova application and the native platform the Cordova application is running on.
jna,Java Native Access (JNA) provides pure Java access to native shared libraries without the need for additional native or JNI code.
google-tag-manager,"Google Tag Manager (GTM) is a free Tag Manager solution for web or mobile. It automates the management of JavaScript code sequences which are used to send &#39;tags&#39; from your website or mobile app to third parties. Supported tags include those from Google and DoubleClick (Google Analytics and DoubleClick Floodlight Sales, for example), and selected &#39;Certified Vendor&#39; tags."
peewee,"peewee is a small ORM written in Python, providing a lightweight querying interface over SQL."
setter,"Setter is public mutator method, used in object-oriented programming, which gives new value to a private member of a class."
matlab-figure,"MATLAB is a high-level language and programming environment developed by MathWorks. This tag relates to the creation and manipulation of graphical plots and visualizations in MATLAB figures. For questions on the creation of graphical user interface (GUI) applications in MATLAB, consider using [tag:matlab-gui], [tag:matlab-guide] or [tag:matlab-app-designer]."
android-adapter,An Adapter object acts as a bridge between an AdapterView and the underlying data for that view. 
core-image,"Core Image is a set of components for near real-time, pixel-accurate image and video processing for cocoa. It&#39;s available from Mac OS X v10.4 and partially available in iOS v5.0"
firebug,"Firebug was a Firefox extension, which allowed the debugging, editing, and monitoring of any website&#39;s CSS, HTML, DOM, JavaScript, network traffic and cookies.

You should just use this tag in case the question is directly related to Firebug itself and not a website you are debugging with Firebug."
lifetime,A variable&#39;s life-time is the time during which the variable is bound to a specific memory location. The life time starts when the variable is allocated and ends when it is deallocated. 
nsmanagedobjectcontext,"An instance of NSManagedObjectContext represents a single “object space”. Its primary responsibility is to manage a collection of managed objects. These objects form a group of related model objects that represent an internally consistent view of one or more persistent stores. A single managed object instance exists in one and only one context, but multiple copies of an object can exist in different contexts. Available in iOS 3.0 and later in CoreData."
screen-orientation,"Detects whether the screen is in portrait orientation (height &gt; width) or landscape orientation (width &gt; height), and switches between the two. This term is especially used in mobile devices, where applications are notified when the user rotates the device.
"
angularjs-controller,"The AngularJS controller exposes the data that is to be displayed into the HTML view.
It plays the essential role of the ModelView in the MVVM design pattern.  The view is a part of the HTML template.
"
android-videoview,An Android View to manage and display a video file. 
instance-variables,"In object-oriented programming with classes, an instance variable is a variable defined in a class (i.e. a member variable), for which each object of the class has a separate copy."
type-conversion,Type conversion is the way of implicitly or explicitly changing an entity of one data type into another. This is done to take advantage of certain features of type hierarchies or type representations.
textmate,TextMate is a text editor for macOS.
react-redux,The react-redux package provides the official React bindings for Redux: the `useSelector` and `useDispatch` hooks and the `connect` higher-order component.  Use this tag for questions about accessing and updating Redux state in React components.
cart,"A web cart or online shopping cart is a web app used to shop online. **For questions related to CART -- Classification and Regression Trees -- use the tag [cart-analysis], or consider whether the topic is more appropriate for Cross Validated or Data Science Stack Exchange**"
webserver,A software application that services requests from clients using the Hypertext Transfer Protocol.
histogram,"In statistics, a histogram is a graphical representation, showing a visual impression of the distribution of data."
webpack,"Webpack is a module bundler. Its main purpose is to bundle JavaScript files for usage in a browser, yet it can also transform, bundle, or package just about any resource or asset.

Webpack takes modules with dependencies and generates static assets representing those modules. Webpack enables extensibility and promotes best practices in web architecture and performance. "
ibm-midrange,"The IBM i is a proprietary platform from IBM, which runs on their Power Systems and Pure Systems, and contains a DB2 database integrated into the IBM i OS."
tensorflow-datasets,"TensorFlow&#39;s `tf.data` module provides a functional API for building input pipelines, using the `tf.data.Dataset` and `tf.data.Iterator` classes."
rails-migrations,Rails migrations are used to track and apply database alterations in a reversible manner.
drupal-modules,"Drupal modules are add-ons for Drupal that allow you to extend, and customize Drupal functionality.

Use this tag is for questions about available modules hosted on www.Drupal.org."
vba,"Visual Basic for Applications (VBA) is an event-driven, object-oriented programming language for writing macros, used for the entire Office suite as well as other applications. VBA is not equivalent to VB.NET, or VBS; if you&#39;re working in Visual Studio use [vb.net]. If your question is specifically about programming any MS Office application, also use the appropriate tag: [excel], [ms-access], [ms-word], [outlook], or [ms-project]."
micronaut,Micronaut is a JVM framework for building web applications with a strong focus on microservice applications.
aws-appsync,"AWS AppSync lets you build data-driven apps with real-time and offline-first capabilities based on GraphQL with custom resolver support for DynamoDB, ElasticSearch, AWS Lambda, and Local datasources."
lua-table,This tag refers to the table type in Lua that implements associative arrays.
winscp,"WinSCP is an open source free SFTP, FTP and SCP client for Windows. WinSCP is commonly used by developers to upload their code, such as PHP, to web servers. Beyond this, WinSCP offers scripting and .NET assembly to automate file transfer tasks."
sql-server,"Microsoft SQL Server is a relational database management system (RDBMS). Use this tag for all Microsoft SQL Server editions including Compact, Express, Azure, Fast-track, APS (formerly PDW) and Azure SQL DW. Do not use this tag for other types of DBMS (MySQL, PostgreSQL, Oracle, etc.). Do not use this tag for issues on software and mobile development, unless it is directly related to the database."
multidimensional-array,Multidimensional-arrays can be described as multi-dimensional tables. Each index used in order to find a given element is called a dimension.
azure,Microsoft Azure is a Platform as a Service and Infrastructure as a Service cloud computing platform. Use this tag for programming questions concerning Azure. General server help can be obtained at Super User or Server Fault.
live,".live() function in jQuery attaches an event handler for all elements which match the current selector, now and in the future. It was deprecated in jQuery 1.7 and removed in jQuery 1.9."
msbuild,"Microsoft Build Engine, also known as MSBuild, is a build platform for managed code and was part of .NET Framework. "
config,Config files configure the initial settings for some computer programs
dropbox-api,"The API for Dropbox, a file syncing, sharing, and backup service."
regex-group,"Regex groups are created by placing part of a regular expression inside parentheses. Groups allows to apply a quantifier to the entire group or to restrict alternation to part of the regex. Besides grouping part of a regular expression together, parentheses also create a numbered capturing group. It stores the part of the string matched by the part of the regular expression inside the parentheses."
extends,extends is a keyword in several programming languages used to denote implementation inheritance
voip,"Voice over Internet Protocol (VoIP) is one of a family of internet technologies, communication protocols, and transmission technologies for delivery of voice communications and multimedia sessions over Internet Protocol (IP) networks, such as the Internet. VoIP protocols can be further subdivided into Signalling and Media Protocols. Signalling protocols are used to establish VoIP sessions while the Media Protocols carry actual voice traffic."
key-bindings,"Anything related to key-bindings (a.k.a. &quot;keyboard shortcuts&quot;, &quot;hotkeys&quot;, etc.), i.e. the associations between key combinations and the corresponding actions triggered when the user presses such combinations."
regression,Regression analysis is a collection of statistical techniques for modeling and predicting one or multiple variables based on other data.
variadic-functions,"A function is variadic if it can accept a variable number of arguments; that is, its arity is not fixed. The abbreviation &quot;varargs&quot; is commonly used to refer to these types of functions."
circular-dependency,circular dependency is a relation between two or more modules which either directly or indirectly depend on each other to function properly. 
psycopg2,Psycopg is a PostgreSQL adapter for Python programming language. It implements PEP 249 with many extensions.
quarkus,"A Kubernetes native Java stack tailored for GraalVM &amp; OpenJDK HotSpot, crafted from the best of breed Java libraries and standards"
boolean-logic,"An algebraic system developed by George Boole. Uses operations such as &quot;And&quot;, &quot;Or&quot; and &quot;Not&quot; on Binary True/False values. It may be used to accomplish complex tasks."
amazon-s3,"Amazon S3 (simple storage service) is an online object storage service from Amazon Web Services. QUESTIONS MUST BE ABOUT PROGRAMMING. Questions about general S3 support, functionality, configuration, etc. are OFF-TOPIC."
